Order,Scene_ID,Scene_Name,Day,Time,Scene_Type,Narrative_Location,Canonical_Location,Situation_State,Entry_Trigger,Primary_BGM,BGM_Action,BGM_Volume,Crossfade_Sec,Ambient_Layer_1,Ambient1_Volume,Ambient_Layer_2,Ambient2_Volume,Entry_Stinger,Event_SFX,Ducking_Rule,Exit_Rule,Conditional_Override,Implementation_Notes,Repo_Update,Confidence,Source_Basis
11,D2-01,현장 재검증,Day 2,07:30,Puzzle,HORIZON,HORIZON,세 출구 미사용 검증,Day 카드 후 Horizon 진입,BGM/The_Horizon_Room,CrossfadeAndLoop,0.52,2.0,,0.0,,0.0,,SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap,"퍼즐 설명 시 -4dB, 결론 대사 시 -7dB",D2-02/D2-04 분기에서도 같은 테마 유지 가능,각 출구 결론 확정마다 finger snap; 세 개 완성 시 Whoop 0.2,반복 방문이므로 발견 장면보다 낮은 볼륨으로 분석 모드화한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
12,D2-02,피의 방향,Day 2,08:40,Puzzle,HORIZON,HORIZON,혈흔 배열·시신 투입 가설,혈흔 퍼즐 UI 열림,BGM/The_Horizon_Room,ContinueIfSame,0.48,0.8,,0.0,,0.0,,SoundEffect/finger snap; SoundEffect/Whoop_-_a_short_2,힌트/Helena 대사 시 -6dB,퍼즐 종료 후 원래 Horizon 볼륨 복귀,"타일 오답은 무음, 정답 단계만 finger snap; 최종 완료 Whoop 0.18",오답마다 소리를 내지 않아 피로도를 낮춘다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
13,D2-03,사망 시각,Day 2,09:30,Interrogation,MEDBAY,MEDBAY,안정제·체온 저하·의사 심문,의무실 대화 시작,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.42,1.8,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/Type_Writer; SoundEffect/finger snap,대화 시 -6dB,D2-06 이동 때 1.8초 크로스페이드,"처방 기록 표시 시 page, 사망 시각 수정 결론 시 finger snap",의료 자료는 조용한 조사 테마로 처리한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
14,D2-04,카메라의 맹점,Day 2,11:00,Investigation,SECURITY,SECURITY,CCTV·설비 로그 대조,CCTV 멀티뷰 활성화,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.47,1.8,,0.0,,0.0,,SoundEffect/Type_Writer; SoundEffect/finger snap,로그 음독 시 -5dB,D2-05 이동 때 1.6초 크로스페이드,22:18 화재감지기 오류 선택 시 Type_Writer 정지 후 finger snap,기계 로그의 리듬을 텍스트 SFX로 보완한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
15,D2-05,천장 패널,Day 2,14:00,Investigation,HORIZON,HORIZON,천장 개방 흔적·섬유 채취,천장 핫스팟 확대,BGM/The_Horizon_Room,CrossfadeAndLoop,0.5,1.5,,0.0,,0.0,,SoundEffect/sound_of_clipping_nails; SoundEffect/finger snap,Owen 대화 시 -6dB,D2-06 전환 때 페이드,섬유 채취에 sound_of_clipping_nails 0.15 볼륨—청음 검수 후 부적합하면 비활성화,현재 리소스 중 가장 가까운 절단음의 임시 사용을 명시한다.,,낮음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
16,D2-06,기자의 객실,Day 2,17:20,Investigation,CABIN_DANIEL,CABIN_DANIEL,기사 초안·익명 채팅·태블릿 부재,객실 조사 시작,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.44,2.0,,0.0,,0.0,,SoundEffect/Type_Writer; SoundEffect/Book Page Turning; SoundEffect/finger snap,Claire 등장 시 -6dB,Day 3 전환 전 페이드아웃,"기사 초안은 Type_Writer, 채팅 스크롤은 page, 태블릿 부재 결론은 finger snap",독립된 객실 장소 상태를 CABIN_DANIEL로 유지한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
17,D3-01,예약 기사 공개,Day 3,08:00,Investigation,NEWS_LOUNGE,NEWS_LOUNGE,기사 공개·승객 불안 상승,Day 카드 후 기사 UI 표시,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.53,2.0,SoundEffect/Cafe_buzzing_sound,0.34,,0.0,SoundEffect/The_sound_of_flipping_newspaper,SoundEffect/Type_Writer,"대화 시 -6dB, 군중 -4dB",D3-02 진입까지 유지,"Public Anxiety 높음 상태면 군중 앰비언스 +20%, BGM +5%",승객 불안을 수치 대신 소리 밀도로 표현한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
18,D3-02,Richard의 자백 1,Day 3,10:30,Interrogation,DECK10_SUITE,RICHARD_SUITE,은폐·매수 자백·아들 오해,심문 시작,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),ContinueIfSame,0.48,1.5,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/finger snap,대사 중 -7dB,D3-03에서 Thomas 테마로 전환,"공감 심문 성공 시 아들 사진 구간에서 BGM -8dB, 완전 자백 시 finger snap",인물 테마를 유지하며 감정 대사에 공간을 준다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
19,D3-03,Thomas의 침묵,Day 3,13:00,Interrogation,BRIDGE,BRIDGE,원본 모듈·선장의 침묵,브리지 진입,BGM/The_Long_Watch(Theme_Thomas_Reed),CrossfadeAndLoop,0.5,2.2,SoundEffect/factory_exhaust_fan_sound,0.12,SoundEffect/boat_engine_sound,0.2,,SoundEffect/Book Page Turning; SoundEffect/finger snap,대화 시 -7dB,D3-04 금고 진입 때 2초 전환,증인으로 설득 성공 시 BGM 볼륨을 5초간 0.38로 낮춘 후 복귀,Thomas와 과거의 무게를 전용 테마로 분리한다.,factory_exhaust_fan_sound + boat_engine_sound 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
20,D3-04,봉인된 기록,Day 3,16:00,Investigation,VAULT,VAULT,이중 인증·모듈 덮어쓰기,금고 잠금 해제,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.53,1.8,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/Type_Writer; SoundEffect/finger snap; SoundEffect/The_sound_of_an_iron_door_knocking; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,대화 시 -6dB,D3-05 이동 때 2초 페이드,"21:05 접근 로그 조합 성공 시 Type_Writer 중지→finger snap 권한 부족/실패 입력에는 iron door knock, 정상 해제 후에는 iron door opening_and_closing.",금고·회사 권한·Evelyn/Marcus 연결을 강조한다.,철문 노크·개폐 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
21,D3-05,익명 제보자의 문장,Day 3,20:00,Investigation,PROMENADE,PROMENADE,문체 비교·야간 1:1 대화,산책 갑판 진입,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.44,2.0,SoundEffect/wind_noise,0.34,SoundEffect/Sound_of_waves_on_the_beach_1,0.32,,SoundEffect/Type_Writer; SoundEffect/finger snap,"대화 시 BGM -7dB, 파도 -3dB",Day 4 전환 전 2초 페이드,반복 문장 일치 시 Type_Writer를 즉시 끊고 finger snap,고요한 바다와 문체 분석의 대비를 만든다.,wind_noise 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
22,D4-01,Marcus의 거짓말,Day 4,08:30,Interrogation,SECURITY,SECURITY,도박 채무·인증 대여 추궁,심문 UI 열림,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.49,1.8,,0.0,,0.0,,SoundEffect/Type_Writer; SoundEffect/finger snap,대화 시 -7dB,D4-02 이벤트 직전 0.5초 페이드,"보호 약속 선택 성공 시 BGM -4dB, 협박 선택 시 그대로 유지",Marcus를 압박하는 기업 권력의 잔향을 사용한다.,,중간,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
23,D4-02,계단 추락,Day 4,11:45,Investigation,STAIR_B,CREW_STAIRS,추락 직후·오판 위험,충돌 이벤트 발생,BGM/Evelyn_s_Final_Clause,HardCutThenLoop,0.56,0.2,SoundEffect/factory_exhaust_fan_sound,0.11,,0.0,SoundEffect/boom_sound_effect,SoundEffect/shoe_footsteps_sound_2; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,Helena 응급 대사 시 -8dB,D4-03 시작 때 Adrian 테마로 전환,Evelyn 즉시 구금 선택 시 짧은 finger snap 금지—오판을 성공음으로 오해하지 않게 함,갑작스러운 위기와 범인 오판 유혹을 강하게 만든다. 계단 구역 출입문이 금속문인 경우에만 사용.,철문 개폐 + 팬 레이어 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
24,D4-03,사고의 재구성,Day 4,14:30,Puzzle,STAIR_B,CREW_STAIRS,발자국·난간·추락 순서 재구성,재구성 UI 열림,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.47,1.4,SoundEffect/factory_exhaust_fan_sound,0.11,,0.0,,SoundEffect/shoe_footsteps_sound_2; SoundEffect/finger snap; SoundEffect/Whoop_-_a_short_2,Owen 설명 시 -6dB,D4-04 이동 때 1.8초 페이드,발자국 카드 재생마다 footstep 1회; 최종 자력 추락 확정 시 finger snap,위기 테마에서 분석 테마로 전환하여 오판 교정을 들려준다.,factory_exhaust_fan_sound 원거리 레이어 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
25,D4-04,말하지 못한 증언,Day 4,18:00,Puzzle,MEDBAY,MEDBAY,5회 예/아니오 제한 심문,Marcus 의식 회복,BGM/Midnight_Latitude(Theme_Adrian_Vale),ContinueIfSame,0.4,1.6,,0.0,,0.0,,SoundEffect/finger snap; SoundEffect/Type_Writer,질문/응답 중 -7dB,Day 5 전환 전 페이드아웃,"질문 선택에는 무음, 유효 질문으로 인증 제공 확인 시 finger snap",질문 기회 제한을 음악이 아니라 UI 템포로 전달한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
26,D5-01,두 번째 불가능 사건,Day 5,09:00,Investigation,CABIN_CLAIRE,CABIN_CLAIRE,연기·출입 영상 없음·위기,객실 문 개방/연기 노출,BGM/The_Horizon_Room,HardCutThenLoop,0.55,0.3,,0.0,,0.0,SoundEffect/boom_sound_effect,SoundEffect/shoe_footsteps_sound_2,Claire 구조 대사 시 -8dB,D5-02에서 Adrian 테마로 전환,연기 첫 노출 boom 0.20; 공포 효과 과장 금지,첫 사건과의 시청각적 평행을 만든다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
27,D5-02,자작극,Day 5,11:00,Investigation,CABIN_CLAIRE,CABIN_CLAIRE,서비스 로봇·드라이아이스 모순,거짓말 모순 UI 열림,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.46,1.5,,0.0,,0.0,,SoundEffect/finger snap; SoundEffect/Type_Writer; SoundEffect/Whoop_-_a_short_2,Claire 대사 시 -6dB,D5-03 이동 때 유지/감쇠,"각 모순 연결은 finger snap, 태블릿 위치 확인은 Whoop 0.18",자동장치 학습을 명확한 추리 피드백으로 처리한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
28,D5-03,Claire의 자백,Day 5,13:30,Interrogation,INTERVIEW,INTERVIEW,태블릿 절도·비자금 자백,심문 시작,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.47,1.8,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/Type_Writer; SoundEffect/finger snap,대화 시 -7dB,D5-04 진입 때 2초 전환,"전체 익명 채팅 해금 시 Type_Writer, 유인 의도 결론 시 finger snap",Claire 개인 범행과 본 사건을 분리한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
29,D5-04,자동으로 완성된 방,Day 5,16:00,Investigation,HORIZON,HORIZON,자동장치 가설·세면대 타이머·천장 패널,증거 보드/독백 시작,BGM/The_Horizon_Room,CrossfadeAndLoop,0.52,2.0,,0.0,,0.0,,SoundEffect/finger snap; SoundEffect/Type_Writer,Adrian 독백 시 -7dB,Day 6 전환 전 페이드,"가설 연결 완료 시 finger snap 후 0.5초 무음, 결론 문장 재생",핵심 트릭의 개념적 전환을 무음으로 강조한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
30,D6-01,안정화 로그,Day 6,07:00,Investigation,ENGINE_CTRL,ENGINE_CONTROL,86kg 비정상 이동 검출,기관 로그 UI 활성화,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.48,2.0,SoundEffect/factory_exhaust_fan_sound,0.32,SoundEffect/boat_engine_sound,0.22,,SoundEffect/Type_Writer; SoundEffect/finger snap,Owen 대사 시 -6dB,D6-02에서 Horizon 테마로 전환,83~89kg 정답 범위 진입 시 UI 예고음 없이 확정 버튼에서만 finger snap,그래프 조작 중 반복음으로 인한 피로를 피한다.,factory_exhaust_fan_sound + boat_engine_sound 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
31,D6-02,천장 위의 길,Day 6,09:30,Puzzle,SERVICE_RAIL,SERVICE_RAIL,화물 레일 분기·숨은 이동 경로,서비스 레일 진입,BGM/The_Horizon_Room,CrossfadeAndLoop,0.55,1.7,SoundEffect/factory_exhaust_fan_sound,0.3,,0.0,,SoundEffect/Mountain Hiking Footsteps; SoundEffect/shoe_footsteps_sound_2; SoundEffect/boom_sound_effect; SoundEffect/finger snap; SoundEffect/The_sound_of_an_iron_door_knocking; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,Owen 설명 시 -6dB,D6-03 진입 때 1.2초 전환,"거친 발걸음은 Mountain Hiking Footsteps 0.15 임시 사용; 시험 카트 도착 boom 0.12 서비스 레일 봉쇄문 첫 조사에는 노크, 해제 후 개폐음.",금속 레일/카트 전용 리소스가 없다는 갭을 기록한다.,철문 노크·개폐 + 팬 반영,낮음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
32,D6-03,검은 바닥,Day 6,11:00,Investigation,BALLAST,BALLAST_CONTROL_ANNEX,루미놀·고무 조각·질소 로그·실제 현장,Ballast 문 개방,BGM/Evelyn_s_Final_Clause,CrossfadeAndLoop,0.58,1.2,SoundEffect/factory_exhaust_fan_sound,0.34,SoundEffect/boat_engine_sound,0.12,,SoundEffect/Mountain Hiking Footsteps; SoundEffect/finger snap; SoundEffect/The_sound_of_an_iron_door_knocking; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,Helena 설명 시 -7dB,D6-04에서 Adrian 테마로 전환,"첫 혈흔 궤적 완성 때 The_Horizon_Room에서 Evelyn 테마로 전환하는 연출도 허용 Ballast 진입 직전 접근 실패면 노크, 해제 성공 후 개폐음.",범인의 존재가 실제 현장에 겹쳐지는 첫 장면이다.,철문 노크·개폐 + 팬·엔진 반영,중간,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
33,D6-04,두 번의 죽음,Day 6,14:00,Investigation,FORENSIC,MEDBAY,비치명 자상·직접 사인 질식 확정,법의학 카드 UI 열림,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.43,1.8,,0.0,,0.0,,SoundEffect/sound_of_clipping_nails; SoundEffect/finger snap; SoundEffect/Whoop_-_a_short_2,Helena 대사 시 -7dB,D6-05 이동 때 유지 가능,샘플 채취음은 0.10 볼륨 임시 사용; 질식 확정 시 finger snap,법의학 결론은 충격음보다 정확한 UI 피드백을 사용한다.,,낮음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
34,D6-05,타임라인 퍼즐,Day 6,18:00,Puzzle,EVIDENCE_BOARD,NEWS_LOUNGE,12장 사건 배열·참 타임라인,증거 보드 진입,BGM/Midnight_Latitude(Theme_Adrian_Vale),ContinueIfSame,0.49,1.5,,0.0,,0.0,,SoundEffect/Type_Writer; SoundEffect/finger snap; SoundEffect/Whoop_-_a_short_2,Adrian 독백 시 -7dB,Day 7 전환 직전 페이드아웃,"카드 배치는 무음, 충돌 해소/핵심 시각 잠금마다 finger snap, 전체 완료 Whoop 0.18",긴 퍼즐에서 과도한 반복 SFX를 제한한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
35,D7-01,마지막 파괴 시도,Day 7,06:30,Investigation,VAULT,VAULT,가짜 화재경보·추격·모듈 파괴 저지,경보 이벤트 시작,BGM/Evelyn_s_Final_Clause,HardCutThenLoop,0.63,0.2,,0.0,,0.0,SoundEffect/boom_sound_effect,SoundEffect/shoe_footsteps_sound_2; SoundEffect/sound_of_clipping_nails; SoundEffect/boom_sound_effect; SoundEffect/The_sound_of_an_iron_door_knocking; SoundEffect/The_sound_of_an_iron_door_opening_and_closing,대치 대사 시 -7dB,D7-02에서 2초 크로스페이드,케이블/봉인 절단에 sound_of_clipping_nails 0.15 임시 사용; 파괴 임팩트 boom 0.28 가짜 경보 후 금고 철문 진입에 개폐음. 잠금 지연은 노크음 1회만.,클라이맥스 전 행동 장면. 하드컷을 허용한다.,철문 노크·개폐 반영,중간,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
36,D7-02,보호면의 침방울,Day 7,09:00,Investigation,FORENSIC,MEDBAY,압수 논리·DNA 직접 접촉,법의학 검사 시작,BGM/Midnight_Latitude(Theme_Adrian_Vale),CrossfadeAndLoop,0.44,2.0,,0.0,,0.0,,SoundEffect/sound_of_clipping_nails; SoundEffect/Type_Writer; SoundEffect/finger snap,Helena 대사 시 -7dB,D7-03에서 Thomas 테마로 전환,DNA 일치 확정 순간 Evelyn_s_Final_Clause를 5초간 0.35 볼륨으로 크로스페이드 후 복귀 가능,직접 물증을 추리 테마에서 범인 테마로 잠깐 연결한다.,,중간,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
37,D7-03,15년 전 목소리,Day 7,13:00,Puzzle,ARCHIVE,ARCHIVE,Orpheus 음성 복원·과거 진실,복구 모듈 재생,BGM/The_Long_Watch(Theme_Thomas_Reed),CrossfadeAndLoop,0.47,2.4,,0.0,,0.0,,SoundEffect/Book Page Turning; SoundEffect/Type_Writer; SoundEffect/finger snap,복원 음성 재생 중 BGM -12dB,D7-04 이동 때 2.5초 전환,핵심 음성 구간에서는 BGM을 거의 무음으로 내려 실제 음성 가독성 확보,음성 자료가 주인공이므로 음악은 반드시 양보한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
38,D7-04,Evelyn의 제안,Day 7,18:00,Interrogation,PROMENADE,PROMENADE,거래 제안·희생양 논리·부분 자백,Evelyn 대화 시작,BGM/The_Mahogany_Ledger(Theme_Richard Hawthorne_Evelyn_Shaw),CrossfadeAndLoop,0.46,2.0,SoundEffect/wind_noise,0.34,SoundEffect/Sound_of_waves_on_the_beach_1,0.3,,SoundEffect/finger snap,"대화 시 BGM -8dB, 파도 -4dB",D8-01 전환 전 1.5초 페이드,거래의 실질이 드러나는 문장에서 Evelyn_s_Final_Clause로 1.2초 전환; 선택 확정 시 finger snap,공적 권력 테마가 개인적 위협 테마로 바뀌는 순간을 만든다.,wind_noise 반영,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
39,D8-01,최종 심문,Day 8,08:00,Finale,HORIZON,HORIZON,범인·현장·사인·운반법·동기 최종 논증,최종 심문 UI 시작,BGM/Evelyn_s_Final_Clause,CrossfadeAndLoop,0.6,1.8,,0.0,,0.0,,SoundEffect/Type_Writer; SoundEffect/finger snap; SoundEffect/Whoop_-_a_short_2,인물 발언 시 -8dB,"정답이면 D8-02까지 유지, 오답/Bad End는 하드컷",인트로 6초는 The_Horizon_Room 0.45에서 시작 후 Evelyn 테마로 전환; 각 단계 확정 finger snap,핵심 장소와 범인 테마를 연속해 최종 논증을 구조화한다.,,높음,시나리오/제작 매뉴얼 + 레포 main@4287b0b 오디오 리소스
