scene_id,order,speaker,text_ko,emotion,condition,choice_id,next_or_effect,stage_direction,voice_required
D3-02,6,PLAYER_CHOICE,공감 심문,choice,D3-01,D3-02_C2,Richard 완전 자백 여부,UI choice,N
D3-03,1,NARRATION,[Thomas의 침묵] 금고와 원본 모듈의 존재를 확인한다.,observe,D3-02,,,BRIDGE,N
D3-03,2,THOMAS,이 장면에서 확인해야 할 것은 Daniel에게 위치를 알려준 사실입니다.,neutral,,,,BRIDGE,Y
D3-03,3,ADRIAN,먼저 BRIDGE의 시간과 동선을 확인하겠습니다.,focused,,,,BRIDGE,Y
D3-03,4,SYSTEM,단서 업데이트: Daniel에게 위치를 알려준 사실,system,,선장을 공범으로 지목 / 증인으로 설득,금고 접근 퀘스트,BRIDGE,N
D3-03,5,PLAYER_CHOICE,선장을 공범으로 지목,choice,D3-02,D3-03_C1,금고 접근 퀘스트,UI choice,N
D3-03,6,PLAYER_CHOICE,증인으로 설득,choice,D3-02,D3-03_C2,금고 접근 퀘스트,UI choice,N
D3-04,1,NARRATION,[봉인된 기록] 모듈 일부가 덮어쓰기 된 사실을 발견한다.,observe,D3-03,,,VAULT,N
D3-04,2,MARCUS,이 장면에서 확인해야 할 것은 이중 인증입니다.,neutral,,,,VAULT,Y
D3-04,3,ADRIAN,먼저 VAULT의 시간과 동선을 확인하겠습니다.,focused,,,,VAULT,Y
D3-04,4,SYSTEM,"단서 업데이트: 이중 인증, 21:05 접근 로그",system,,,Marcus 압박,VAULT,N
D3-05,1,NARRATION,[익명 제보자의 문장] Daniel의 채팅에서 반복되는 어휘를 찾는다.,observe,D3-04,,,PROMENADE,N
D3-05,2,CLAIRE,이 장면에서 확인해야 할 것은 “사실은 언제나 비용을 요구한다”입니다.,neutral,,,,PROMENADE,Y
D3-05,3,ADRIAN,먼저 PROMENADE의 시간과 동선을 확인하겠습니다.,focused,,,,PROMENADE,Y
D3-05,4,SYSTEM,단서 업데이트: “사실은 언제나 비용을 요구한다”,system,,,Evelyn 언어 습관 복선,PROMENADE,N
D4-01,1,NARRATION,[Marcus의 거짓말] 보안 인증 대여 사실을 추궁한다.,observe,D3-04,,,SECURITY,N
D4-01,2,MARCUS,이 장면에서 확인해야 할 것은 도박 채무입니다.,neutral,,,,SECURITY,Y
D4-01,3,ADRIAN,먼저 SECURITY의 시간과 동선을 확인하겠습니다.,focused,,,,SECURITY,Y
D4-01,4,SYSTEM,"단서 업데이트: 도박 채무, Evelyn과의 비밀 연락",system,,빚 공개 협박 / 보호 약속,고백 약속,SECURITY,N
D4-01,5,PLAYER_CHOICE,빚 공개 협박,choice,D3-04,D4-01_C1,고백 약속,UI choice,N
D4-01,6,PLAYER_CHOICE,보호 약속,choice,D3-04,D4-01_C2,고백 약속,UI choice,N
D4-02,1,NARRATION,[계단 추락] Marcus 추락 현장을 조사한다.,observe,D4-01,,,STAIR_B,N
D4-02,2,EVELYN,이 장면에서 확인해야 할 것은 젖은 계단입니다.,neutral,,,,STAIR_B,Y
D4-02,3,ADRIAN,먼저 STAIR_B의 시간과 동선을 확인하겠습니다.,focused,,,,STAIR_B,Y
D4-02,4,SYSTEM,"단서 업데이트: 젖은 계단, 장갑 섬유",system,,,오판 위험,STAIR_B,N
D4-03,1,NARRATION,[사고의 재구성] 발자국 간격과 난간 손자국으로 자력 추락을 입증한다.,observe,D4-02,,,STAIR_B,N
D4-03,2,OWEN,이 장면에서 확인해야 할 것은 미끄러짐 궤적입니다.,neutral,,,,STAIR_B,Y
D4-03,3,ADRIAN,먼저 STAIR_B의 시간과 동선을 확인하겠습니다.,focused,,,,STAIR_B,Y
D4-03,4,SYSTEM,"단서 업데이트: 미끄러짐 궤적, 밀친 흔적 없음",system,,,Evelyn의 비윤리성만 확정,STAIR_B,N
D4-04,1,NARRATION,[말하지 못한 증언] 의식이 돌아온 Marcus에게 예/아니오 심문을 한다.,observe,D4-03,,,MEDBAY,N
D4-04,2,MARCUS,이 장면에서 확인해야 할 것은 Evelyn에게 인증 제공입니다.,neutral,,,,MEDBAY,Y
D4-04,3,ADRIAN,먼저 MEDBAY의 시간과 동선을 확인하겠습니다.,focused,,,,MEDBAY,Y
D4-04,4,SYSTEM,단서 업데이트: Evelyn에게 인증 제공,system,,,금고 공범 연결,MEDBAY,N
D5-01,1,NARRATION,[두 번째 불가능 사건] Claire를 연기 속에서 발견한다.,observe,D4-04,,,CABIN_CLAIRE,N
D5-01,2,CLAIRE,이 장면에서 확인해야 할 것은 출입 영상 없음입니다.,neutral,,,,CABIN_CLAIRE,Y
D5-01,3,ADRIAN,먼저 CABIN_CLAIRE의 시간과 동선을 확인하겠습니다.,focused,,,,CABIN_CLAIRE,Y
D5-01,4,SYSTEM,"단서 업데이트: 출입 영상 없음, 자동커튼 작동",system,,,반복 밀실,CABIN_CLAIRE,N
D5-02,1,ADRIAN,카메라에는 침입자가 없습니다. 첫 사건과 같아 보이죠.,calm,D5-01,,,CABIN_CLAIRE,Y
D5-02,2,CLAIRE,그럼 그 사람이 또 온 거예요.,fake_fear,,,,CABIN_CLAIRE,Y
D5-02,3,ADRIAN,아니요. 이번에는 아무도 오지 않았습니다. 당신을 포함해서요.,deduction,,,,CABIN_CLAIRE,Y
D5-02,4,ADRIAN,서비스 로봇이 연막장치를 옮기고 자동커튼이 쓰러지는 그림자를 만들었습니다.,focused,,,,CABIN_CLAIRE,Y
D5-02,5,CLAIRE,…태블릿만 돌려주면 되는 거죠?,defeated,,,태블릿 회수,CABIN_CLAIRE,Y
D5-03,1,NARRATION,[Claire의 자백] 태블릿 절도와 비자금 은폐를 자백시킨다.,observe,D5-02,,,INTERVIEW,N
D5-03,2,CLAIRE,이 장면에서 확인해야 할 것은 익명 제보 전체 대화입니다.,neutral,,,,INTERVIEW,Y
D5-03,3,ADRIAN,먼저 INTERVIEW의 시간과 동선을 확인하겠습니다.,focused,,,,INTERVIEW,Y
D5-03,4,SYSTEM,단서 업데이트: 익명 제보 전체 대화,system,,면책 거래 / 전면 폭로,제보자 유인 의도 확정,INTERVIEW,N
D5-03,5,PLAYER_CHOICE,면책 거래,choice,D5-02,D5-03_C1,제보자 유인 의도 확정,UI choice,N
D5-03,6,PLAYER_CHOICE,전면 폭로,choice,D5-02,D5-03_C2,제보자 유인 의도 확정,UI choice,N
D5-04,1,NARRATION,[자동으로 완성된 방] 첫 사건도 자동장치가 현장을 만들었다는 가설을 세운다.,observe,D5-03,,,HORIZON,N
D5-04,2,ADRIAN_독백,이 장면에서 확인해야 할 것은 세면대 타이머입니다.,neutral,,,,HORIZON,Y
D5-04,3,ADRIAN,먼저 HORIZON의 시간과 동선을 확인하겠습니다.,focused,,,,HORIZON,Y
D5-04,4,SYSTEM,"단서 업데이트: 세면대 타이머, 천장 패널",system,,,화물 레일 조사 개방,HORIZON,N
D6-01,1,OWEN,보정값이 86킬로그램입니다. 파도라면 이렇게 일정한 속도로 이동하지 않습니다.,alarmed,D5-04,,,ENGINE_CTRL,Y
D6-01,2,ADRIAN,7층 선미에서 8층 Horizon까지. 사람 한 명의 무게군요.,deduction,,,,ENGINE_CTRL,Y
D6-01,3,OWEN,하지만 승객용 승강기는 움직이지 않았습니다.,confused,,,,ENGINE_CTRL,Y
D6-01,4,ADRIAN,승객이 아니었으니까요. 화물이었습니다.,cold,,,시신 이동 확정,ENGINE_CTRL,Y
D6-02,1,NARRATION,[천장 위의 길] 화물 레일을 직접 따라간다.,observe,D6-01,,,SERVICE_RAIL,N
D6-02,2,OWEN,이 장면에서 확인해야 할 것은 Ballast Annex-Horizon 연결 분기입니다.,neutral,,,,SERVICE_RAIL,Y
D6-02,3,ADRIAN,먼저 SERVICE_RAIL의 시간과 동선을 확인하겠습니다.,focused,,,,SERVICE_RAIL,Y
D6-02,4,SYSTEM,단서 업데이트: Ballast Annex-Horizon 연결 분기,system,,,실제 살해 장소 후보,SERVICE_RAIL,N
D6-03,1,NARRATION,[검은 바닥] Daniel 구두의 고무 조각과 바닥을 대조한다.,observe,D6-02,,,BALLAST,N
D6-03,2,HELENA,이 장면에서 확인해야 할 것은 혈흔 세척 흔적입니다.,neutral,,,,BALLAST,Y
D6-03,3,ADRIAN,먼저 BALLAST의 시간과 동선을 확인하겠습니다.,focused,,,,BALLAST,Y
D6-03,4,SYSTEM,"단서 업데이트: 혈흔 세척 흔적, 불활성 가스 로그",system,,,실제 현장 확정,BALLAST,N
D6-04,1,NARRATION,"[두 번의 죽음] 자상은 비치명상, 직접 사인은 질식임을 확정한다.",observe,D6-03,,,FORENSIC,N
D6-04,2,HELENA,이 장면에서 확인해야 할 것은 폐·혈액 소견입니다.,neutral,,,,FORENSIC,Y
D6-04,3,ADRIAN,먼저 FORENSIC의 시간과 동선을 확인하겠습니다.,focused,,,,FORENSIC,Y
D6-04,4,SYSTEM,"단서 업데이트: 폐·혈액 소견, 보호면 파편",system,,,Evelyn 접촉 증거,FORENSIC,N
D6-05,1,NARRATION,[타임라인 퍼즐] 21:22-22:45 사건의 참 타임라인을 완성한다.,observe,D6-04,,,EVIDENCE_BOARD,N
D6-05,2,ADRIAN_독백,이 장면에서 확인해야 할 것은 살해 21:45입니다.,neutral,,,,EVIDENCE_BOARD,Y
D6-05,3,ADRIAN,먼저 EVIDENCE_BOARD의 시간과 동선을 확인하겠습니다.,focused,,,,EVIDENCE_BOARD,Y
D6-05,4,SYSTEM,"단서 업데이트: 살해 21:45, 이동 22:18",system,,,최종 심문 조건 1,EVIDENCE_BOARD,N
D7-01,1,NARRATION,[마지막 파괴 시도] Evelyn이 모듈을 파괴하려는 것을 저지한다.,observe,D6-05,,,VAULT,N
D7-01,2,EVELYN,이 장면에서 확인해야 할 것은 가짜 화재경보입니다.,neutral,,,,VAULT,Y
D7-01,3,ADRIAN,먼저 VAULT의 시간과 동선을 확인하겠습니다.,focused,,,,VAULT,Y
D7-01,4,SYSTEM,"단서 업데이트: 가짜 화재경보, 모듈 교체",system,,,Evelyn 의심 확정,VAULT,N
D7-02,1,NARRATION,[보호면의 침방울] Evelyn 장비와 Daniel DNA를 연결한다.,observe,D7-01,,,FORENSIC,N
D7-02,2,HELENA,이 장면에서 확인해야 할 것은 보호면 내부 DNA입니다.,neutral,,,,FORENSIC,Y
D7-02,3,ADRIAN,먼저 FORENSIC의 시간과 동선을 확인하겠습니다.,focused,,,,FORENSIC,Y
D7-02,4,SYSTEM,"단서 업데이트: 보호면 내부 DNA, 손톱 수지",system,,,최종 물증,FORENSIC,N
D7-03,1,JULIAN_RECORD,아버지는 아무것도 몰라요. 지금 멈춰요.,recorded,D7-02,,,ARCHIVE,Y
D7-03,2,EVELYN_RECORD,당신 아버지가 몰랐다고 해서 회사가 살아나는 건 아니에요.,recorded,,,,ARCHIVE,Y
D7-03,3,JULIAN_RECORD,승객이 탔습니다. 이대로 밸브를 열면 사고가 아니라 살인이에요.,recorded,,,,ARCHIVE,Y
D7-03,4,RICHARD,Julian… 내가 너를 범인으로 만들었구나.,broken,,,과거 진범 확정,ARCHIVE,Y
D7-04,1,NARRATION,[Evelyn의 제안] Evelyn이 거래를 제안하며 Richard를 희생양으로 삼으려 한다.,observe,D7-03,,,PROMENADE,N
D7-04,2,EVELYN,이 장면에서 확인해야 할 것은 Daniel 초대 위조 인정 일부입니다.,neutral,,,,PROMENADE,Y
D7-04,3,ADRIAN,먼저 PROMENADE의 시간과 동선을 확인하겠습니다.,focused,,,,PROMENADE,Y
D7-04,4,SYSTEM,단서 업데이트: Daniel 초대 위조 인정 일부,system,,거래 수락하는 척 / 거절,추가 자백 획득 가능,PROMENADE,N
D7-04,5,PLAYER_CHOICE,거래 수락하는 척,choice,D7-03,D7-04_C1,추가 자백 획득 가능,UI choice,N
D7-04,6,PLAYER_CHOICE,거절,choice,D7-03,D7-04_C2,추가 자백 획득 가능,UI choice,N
D8-01,1,ADRIAN,이 방은 잠겨 있지 않았습니다. 그런데도 밀실이었습니다.,final,D7-04,,,HORIZON,Y
D8-01,2,ADRIAN,"외벽으로 나갔다면 물이, 덕트로 나갔다면 먼지가, 점검구로 나갔다면 자국이 남아야 합니다.",final,,,,HORIZON,Y
D8-01,3,EVELYN,그래서요? 흔적을 못 찾았다는 것이 증거는 아니죠.,controlled,,,,HORIZON,Y
D8-01,4,ADRIAN,맞습니다. 찾지 못한 게 아닙니다. 처음부터 생길 수 없었습니다.,final,,,,HORIZON,Y
D8-01,5,ADRIAN,당신은 이 방에 들어오지 않았으니까요. 들어온 것은 Daniel의 시신뿐이었습니다.,accuse,,,엔딩 분기,HORIZON,Y
D8-02,1,EVELYN,Orpheus가 침몰하지 않았다면 수천 명이 일자리를 잃었을 겁니다.,defiant,D8-01 정답,,,STERN,Y
D8-02,2,ADRIAN,살아남은 사람의 수가 죽인 사람의 죄를 나눠 갖지는 않습니다.,final,,,,STERN,Y
D8-02,3,EVELYN,나는 회사를 살렸어요.,anger,,,,STERN,Y
D8-02,4,ADRIAN,죽은 사람들 위에 회사 이름을 계속 붙여둔 겁니다.,final,,,도덕적 결말 톤,STERN,Y
D8-03,1,NARRATION,[귀항] 후일담과 사건 평가를 제시한다.,observe,D8-02,,,PORT,N
D8-03,2,생존자,이 장면에서 확인해야 할 것은 기사 수정본입니다.,neutral,,,,PORT,Y
D8-03,3,ADRIAN,먼저 PORT의 시간과 동선을 확인하겠습니다.,focused,,,,PORT,Y
D8-03,4,SYSTEM,"단서 업데이트: 기사 수정본, Julian 명예회복",system,,,A/B/C 엔딩,PORT,N
