line_id,scene_id,order,beat,line_type,speaker,text_ko,emotion,condition,choice_id,next_or_effect,stage_direction,voice_required,branch_group,implementation_note
D1-01_003,D1-01,3,choice,choice,PLAYER_CHOICE,클레어와 대화,choice,,D1-01_CLAIRE,keyword:corporate_funds; flag:met_claire,UI choice,N,D1-01_FREE,
D1-01_004,D1-01,4,choice,choice,PLAYER_CHOICE,마커스와 대화,choice,,D1-01_MARCUS,keyword:security_routes; flag:met_marcus,UI choice,N,D1-01_FREE,
D1-01_005,D1-01,5,choice,choice,PLAYER_CHOICE,헬레나와 대화,choice,,D1-01_HELENA,keyword:medication; flag:met_helena,UI choice,N,D1-01_FREE,
D1-01_006,D1-01,6,choice,choice,PLAYER_CHOICE,오언과 대화,choice,,D1-01_OWEN,keyword:stabilizer; flag:met_owen,UI choice,N,D1-01_FREE,
D1-01_007,D1-01,7,claire,branch_response,CLAIRE,아드리안 베일. 삼촌이 부른 탐정이군요. 회사 비밀을 찾으러 오셨다면 안내 책자부터 읽으세요. 거짓말이 가장 정돈된 형태로 실려 있으니까.,wry,choice(D1-01_CLAIRE),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_008,D1-01,8,claire,branch_response,ADRIAN,당신은 후계자라고 들었습니다.,calm,choice(D1-01_CLAIRE),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_009,D1-01,9,claire,branch_response,CLAIRE,예정된 후계자죠. 호손 가문에서는 예정과 결정 사이에 회계 장부 한 권이 들어갑니다.,guarded,choice(D1-01_CLAIRE),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_010,D1-01,10,claire,branch_response,ADRIAN,오늘 밤 어디에 있을 겁니까?,focused,choice(D1-01_CLAIRE),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_011,D1-01,11,claire,branch_response,CLAIRE,만찬 뒤에는 볼룸. 사람들 앞에서 웃고 있을 겁니다. 가장 확인하기 쉬운 알리바이죠.,light,choice(D1-01_CLAIRE),,keyword:claire_ballroom,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_012,D1-01,12,marcus,branch_response,MARCUS,승객용 구역과 서비스 구역을 구분해 주십시오. 길을 잃는 분들은 늘 ‘탐험 중이었다’고 말하더군요.,professional,choice(D1-01_MARCUS),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_013,D1-01,13,marcus,branch_response,ADRIAN,보안 카메라에 맹점이 있습니까?,focused,choice(D1-01_MARCUS),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_014,D1-01,14,marcus,branch_response,MARCUS,사람을 찍지 못하는 구역은 있어도 출입을 기록하지 못하는 문은 없습니다. 서비스 계단도 마찬가지입니다.,confident,choice(D1-01_MARCUS),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_015,D1-01,15,marcus,branch_response,ADRIAN,오늘 밤 당신 위치는요?,focused,choice(D1-01_MARCUS),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_016,D1-01,16,marcus,branch_response,MARCUS,21시부터 보안실. 파티 카메라와 승무원 통로를 동시에 봅니다.,neutral,choice(D1-01_MARCUS),,keyword:marcus_security,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_017,D1-01,17,helena,branch_response,HELENA,"배멀미약이 필요하신가요, 아니면 표정만 그렇게 심각하신가요?",warm,choice(D1-01_HELENA),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_018,D1-01,18,helena,branch_response,ADRIAN,의무실에서 자주 보는 표정입니까?,dry,choice(D1-01_HELENA),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_019,D1-01,19,helena,branch_response,HELENA,"출항 첫날에는 불안, 마지막 날에는 숙취가 많죠. 다니엘 머서는 이미 두 번 왔습니다. 잠을 못 잔다며 약을 요청했어요.",clinical,choice(D1-01_HELENA),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_020,D1-01,20,helena,branch_response,ADRIAN,무슨 약을 줬습니까?,focused,choice(D1-01_HELENA),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_021,D1-01,21,helena,branch_response,HELENA,약한 안정제. 처방량은 기록에 남습니다. 오늘 밤 저는 의무실과 파티장을 오갈 예정이고요.,neutral,choice(D1-01_HELENA),,keyword:daniel_sedative,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_022,D1-01,22,owen,branch_response,OWEN,유리 바닥 가운데 서지 마십시오. 멀쩡한데도 기관 진동을 느낀다고 신고하는 분들이 있습니다.,gruff,choice(D1-01_OWEN),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_023,D1-01,23,owen,branch_response,ADRIAN,실제로 느껴지는 진동은요?,curious,choice(D1-01_OWEN),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_024,D1-01,24,owen,branch_response,OWEN,"배는 거짓말을 못 합니다. 무게가 움직이면 안정화 장치가 보정하고, 문이 열리면 압력이 흔들리죠. 사람만 기록을 핑계로 거짓말합니다.",matter_of_fact,choice(D1-01_OWEN),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_025,D1-01,25,owen,branch_response,ADRIAN,오늘 밤은 어디에 있습니까?,focused,choice(D1-01_OWEN),,,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_026,D1-01,26,owen,branch_response,OWEN,"21시 반까지 무대 장비 점검, 그 뒤 기관 제어실. 행사 레일이 무거운 장식을 옮기니 진동 문의가 많을 겁니다.",neutral,choice(D1-01_OWEN),,keyword:event_rail,DECK8_ATRIUM,Y,D1-01_FREE,
D1-01_027,D1-01,27,close,monologue,ADRIAN,네 사람 모두 알리바이를 먼저 말했습니다. 묻기도 전에.,internal,"all_flags(met_claire,met_marcus,met_helena,met_owen)",,,DECK8_ATRIUM,Y,,
D1-01_028,D1-01,28,close,system,SYSTEM,심문 키워드 해금: 비자금 / 서비스 동선 / 안정제 / 안정화 장치.,system,"all_flags(met_claire,met_marcus,met_helena,met_owen)",,scene_unlock:D1-02,UI,N,,
D1-02_001,D1-02,1,opening,narration,NARRATION,만찬의 네 번째 코스가 놓이기도 전에 다니엘은 태블릿을 식탁 위에 세웠다. 화면에는 호손 해운의 계열사 송금 표가 떠 있었다.,observe,D1-01,,,DECK9_DINING,N,,
D1-02_002,D1-02,2,argument,dialogue,DANIEL,"유령 회사 셋, 같은 날 분산 송금, 최종 수취인은 호손 가족 신탁. 우연치고는 회계사가 너무 부지런하군요.",provoking,,,,DECK9_DINING,Y,,
D1-02_003,D1-02,3,argument,dialogue,CLAIRE,그 자료는 감사 전 초안입니다. 출처를 공개하지 않으면 명예훼손으로 끝날 겁니다.,cold,,,,DECK9_DINING,Y,,
D1-02_004,D1-02,4,argument,dialogue,DANIEL,"출처는 당신 회사 안에 있습니다. 이름은 밝히지 않겠지만, 매일 당신 곁에서 서류를 정리하는 사람일 수도 있죠.",sharp,,,,DECK9_DINING,Y,,
D1-02_005,D1-02,5,argument,dialogue,EVELYN,"다니엘, 다른 승객들이 식사 중입니다. 업무 이야기는 적절한 장소에서 하시죠.",controlled,,,,DECK9_DINING,Y,,
D1-02_006,D1-02,6,argument,dialogue,DANIEL,적절한 장소는 늘 권력이 정합니다. 그래서 저는 부적절한 장소를 좋아합니다.,defiant,,,,DECK9_DINING,Y,,
D1-02_007,D1-02,7,argument,dialogue,CLAIRE,당신은 오르페우스 호를 핑계로 우리 회사 전체를 범죄 조직처럼 쓰고 있어요.,angry,,,,DECK9_DINING,Y,,
D1-02_008,D1-02,8,argument,dialogue,DANIEL,범죄 조직은 보통 기록을 더 잘 관리합니다.,dry,,,,DECK9_DINING,Y,,
D1-02_009,D1-02,9,choice,choice,PLAYER_CHOICE,끼어들기,choice,,D1-02_C1,hostility_claire:+1; flag:intervened_dinner,UI choice,N,D1-02_INTERVENE,
D1-02_010,D1-02,10,choice,choice,PLAYER_CHOICE,관찰하기,choice,,D1-02_C2,hostility_claire:-1; flag:observed_dinner,UI choice,N,D1-02_INTERVENE,
D1-02_011,D1-02,11,choice_result,branch_response,ADRIAN,"기사 초안과 식사를 같은 테이블에 올리면 둘 다 망칩니다. 다니엘, 출처가 실제로 존재한다는 증거부터 보여주세요.",firm,choice(D1-02_C1),,,DECK9_DINING,Y,D1-02_INTERVENE,
D1-02_012,D1-02,12,choice_result,branch_response,DANIEL,암호화 채팅과 내부 문서의 대조본이 있습니다. 하지만 원본은 아직 못 받았습니다.,reluctant,choice(D1-02_C1),,,DECK9_DINING,Y,D1-02_INTERVENE,
D1-02_013,D1-02,13,choice_result,branch_response,CLAIRE,탐정까지 그 사람 편이군요.,resentful,choice(D1-02_C1),,hostility_claire:+1,DECK9_DINING,Y,D1-02_INTERVENE,
D1-02_014,D1-02,14,choice_result,branch_response,NARRATION,"클레어는 와인잔을 들었지만 마시지 않았다. 다니엘이 ‘내부 문서’라고 말한 순간, 그녀의 시선은 그의 태블릿 가방으로 내려갔다.",observe,choice(D1-02_C2),,,DECK9_DINING,N,D1-02_INTERVENE,
D1-02_015,D1-02,15,choice_result,branch_response,NARRATION,"이블린은 언쟁이 격해질수록 오히려 조용해졌다. 단 한 번, 다니엘이 ‘익명 제보자’라고 말했을 때만 손가락이 멈췄다.",observe,choice(D1-02_C2),,,DECK9_DINING,N,D1-02_INTERVENE,
D1-02_016,D1-02,16,choice_result,monologue,ADRIAN,말보다 시선이 많군.,internal,choice(D1-02_C2),,hostility_claire:-1; flag:evelyn_reacts_to_tip,DECK9_DINING,Y,D1-02_INTERVENE,
D1-02_017,D1-02,17,inspection,narration,NARRATION,[조사: 기사 초안 화면],observe,,,,DECK9_DINING,N,,
D1-02_018,D1-02,18,inspection,inspection,ADRIAN,"제목은 ‘오르페우스 호는 사고가 아니었다’. 리처드의 이름이 굵게 표시되어 있고, 근거 항목 일부는 ‘익명 제보 대기’로 비어 있다.",focused,,,,DECK9_DINING,Y,,
D1-02_019,D1-02,19,evidence,system,SYSTEM,단서 획득: 보조 단서: 비자금 기사,system,,,flag:article_draft_seen,UI,N,,
D1-02_020,D1-02,20,foreshadow,dialogue,DANIEL,오늘 밤 원본을 받습니다. 그러면 빈칸도 채워지겠죠.,confident,,,,DECK9_DINING,Y,,
D1-02_021,D1-02,21,foreshadow,dialogue,ADRIAN,장소는요?,focused,,,,DECK9_DINING,Y,,
D1-02_022,D1-02,22,foreshadow,dialogue,DANIEL,제보자가 바꿨습니다. 파티 중에 다시 연락한다고 했어요.,guarded,,,,DECK9_DINING,Y,,
D1-02_023,D1-02,23,motif,dialogue,EVELYN,사실은 언제나 비용을 요구합니다. 그 비용을 누가 치를지 생각해 보시길 바랍니다.,cool,,,,DECK9_DINING,Y,,
D1-02_024,D1-02,24,motif,dialogue,DANIEL,"그 문장, 제 제보자도 좋아하더군요.",suspicious,,,,DECK9_DINING,Y,,
D1-02_025,D1-02,25,motif,dialogue,EVELYN,좋은 문장은 널리 쓰이는 법이죠.,smile,,,,DECK9_DINING,Y,,
D1-02_026,D1-02,26,close,system,SYSTEM,단서 등록: 비자금 기사 / 익명 제보 언급 / 이블린의 표현 습관(미확정).,system,,,scene_unlock:D1-03,UI,N,,
D1-03_001,D1-03,1,opening,narration,NARRATION,"볼룸의 천장 레일에서는 별 모양 장식이 천천히 회전했다. 카메라 세 대가 무대를 향했고, 한 대는 출입문과 바를 함께 담고 있었다.",observe,D1-02,,,DECK9_BALLROOM,N,,
D1-03_002,D1-03,2,rail_foreshadow,dialogue,OWEN,장식 아래 서지 마십시오. 정격은 충분하지만 사람들은 ‘충분’이라는 말을 들으면 꼭 시험해 봅니다.,gruff,,,,DECK9_BALLROOM,Y,,
D1-03_003,D1-03,3,inspection,narration,NARRATION,[조사: 천장 행사 레일],observe,,,,DECK9_BALLROOM,N,,
D1-03_004,D1-03,4,inspection,inspection,ADRIAN,조명과 장식물을 무대 뒤 서비스 구역에서 끌어오는 레일이다. 호라이즌 룸 방향 분기 표시는 행사 지도에서 잘려 있다.,focused,,,,DECK9_BALLROOM,Y,,
D1-03_005,D1-03,5,evidence,system,SYSTEM,단서 획득: 보조 단서: 행사 레일 구조,system,,,flag:event_rail_seen,UI,N,,
D1-03_006,D1-03,6,inspection,narration,NARRATION,[조사: 파티 카메라 배치],observe,,,,DECK9_BALLROOM,N,,
D1-03_007,D1-03,7,inspection,inspection,ADRIAN,주 출입문과 바는 촬영되지만 천장 상부와 서비스 도어 안쪽은 프레임 밖이다.,focused,,,,DECK9_BALLROOM,Y,,
D1-03_008,D1-03,8,evidence,system,SYSTEM,단서 획득: 보조 단서: 카메라 배치,system,,,flag:ballroom_camera_map,UI,N,,
D1-03_009,D1-03,9,alibis,dialogue,CLAIRE,모두가 사진을 찍는 날에는 거짓말하기가 더 어렵죠.,light,,,,DECK9_BALLROOM,Y,,
D1-03_010,D1-03,10,alibis,dialogue,EVELYN,그래서 공식 사진팀이 5분 간격으로 촬영합니다. 행사 기록은 분쟁을 줄여 줍니다.,controlled,,,,DECK9_BALLROOM,Y,,
D1-03_011,D1-03,11,alibis,dialogue,ADRIAN,당신도 계속 사진에 찍히겠군요.,focused,,,,DECK9_BALLROOM,Y,,
D1-03_012,D1-03,12,alibis,dialogue,EVELYN,21시부터 22시 30분까지요. 회장님 일정도 제가 관리합니다.,matter_of_fact,,,,DECK9_BALLROOM,Y,,
D1-03_013,D1-03,13,alibis,dialogue,RICHARD,내 잔이나 관리해. 일정은 내가 알아서 하지.,drunk_irritated,,,,DECK9_BALLROOM,Y,,
D1-03_014,D1-03,14,alibis,dialogue,HELENA,"회장님, 오늘은 그 잔이 네 번째입니다.",clinical,,,,DECK9_BALLROOM,Y,,
D1-03_015,D1-03,15,alibis,dialogue,RICHARD,의사까지 증인이군.,bitter,,,,DECK9_BALLROOM,Y,,
D1-03_016,D1-03,16,alibis,dialogue,DANIEL,증인은 많을수록 좋습니다. 특히 기억이 흐린 사람 곁에는.,provoking,,,,DECK9_BALLROOM,Y,,
D1-03_017,D1-03,17,daniel,dialogue,ADRIAN,"다니엘, 제보 연락은 왔습니까?",low,,,,DECK9_BALLROOM,Y,,
