scene_id,chapter,title,time_label,location,objective,entry_condition,next_scene,characters,clues,choices,dialogue_line_count,voiced_line_count,choice_count,hint_count,status
D3-02,3일 차,리처드의 자백 1,10:30,DECK10_SUITE,증거 은폐와 조사관 매수를 인정시킴,D3-01,D3-03,리처드,아들 줄리언 책임 오해,강경 심문 / 공감 심문,19,15,2,0,COMPLETE
D3-03,3일 차,Thomas의 침묵,13:00,BRIDGE,금고와 원본 모듈 존재 확인,D3-02,D3-04,토머스,다니엘에게 위치를 알려준 사실,선장을 공범으로 지목 / 증인으로 설득,20,16,2,0,COMPLETE
D3-04,3일 차,봉인된 기록,16:00,VAULT,모듈 일부가 덮어쓰기 된 사실 발견,D3-03,D3-05 및 D4-01,마커스; 이블린,이중 인증; 21:05 접근 로그,누구의 인증인지 추적,22,14,0,0,COMPLETE
D3-05,3일 차,익명 제보자의 문장,20:00,PROMENADE,다니엘 채팅의 반복 어휘 발견,D3-04,D4-01,클레어,“사실은 언제나 비용을 요구한다”,문체 단서 저장,17,13,0,0,COMPLETE
D4-01,4일 차,Marcus의 거짓말,08:30,SECURITY,보안 인증 대여 사실 추궁,D3-04,D4-02,마커스,도박 채무; 이블린과의 비밀 연락,빚 공개 협박 / 보호 약속,24,16,2,0,COMPLETE
D4-02,4일 차,계단 추락,11:45,STAIR_B,마커스 추락 현장 조사,D4-01,D4-03,이블린; 헬레나,젖은 계단; 장갑 섬유,이블린 즉시 구금 여부,23,13,2,0,COMPLETE
D4-03,4일 차,사고의 재구성,14:30,STAIR_B,발자국 간격과 난간 손자국으로 자력 추락 입증,D4-02,D4-04,오언,미끄러짐 궤적; 밀친 흔적 없음,퍼즐 재구성,19,13,0,3,COMPLETE
D4-04,4일 차,말하지 못한 증언,18:00,MEDBAY,마커스에게 예/아니오 제한 심문,D4-03,D5-01,마커스,이블린에게 인증 제공,제한 질문 5회,29,6,8,3,COMPLETE
D5-01,5일 차,두 번째 불가능 사건,09:00,CABIN_CLAIRE,클레어를 연기 속에서 발견,D4-04,D5-02,클레어,출입 영상 없음; 자동커튼 작동,현장 봉쇄,24,15,1,0,COMPLETE
D5-02,5일 차,자작극,11:00,CABIN_CLAIRE,서비스 로봇과 연막장치로 현장 생성 방식 규명,D5-01,D5-03,클레어,로봇 적재함; 드라이아이스,거짓말 모순 선택,36,22,3,3,COMPLETE
D5-03,5일 차,Claire의 자백,13:30,INTERVIEW,태블릿 절도와 비자금 은폐 자백,D5-02,D5-04,클레어,익명 제보 전체 대화,면책 거래 / 전면 폭로,21,15,2,0,COMPLETE
D5-04,5일 차,자동으로 완성된 방,16:00,HORIZON,첫 사건도 자동장치가 현장을 만들었다는 가설 수립,D5-03,D6-01,아드리안 독백,세면대 타이머; 천장 패널,증거 보드 연결,22,10,0,3,COMPLETE
D6-01,6일 차,안정화 로그,07:00,ENGINE_CTRL,22:17 선미 우현의 비정상 무게 이동 확인,D5-04,D6-02,오언,약 86kg 이동; 기상과 불일치,파도 로그와 중첩 비교,23,13,0,3,COMPLETE
D6-02,6일 차,천장 위의 길,09:30,SERVICE_RAIL,화물 레일을 직접 따라감,D6-01,D6-03,오언,밸러스트 별실-호라이즌 룸 연결 분기,분기 스위치 퍼즐,24,14,0,3,COMPLETE
D6-03,6일 차,검은 바닥,11:00,BALLAST,다니엘 구두의 고무 조각과 바닥 대조,D6-02,D6-04,헬레나,혈흔 세척 흔적; 불활성 가스 로그,루미놀 조사,25,13,0,3,COMPLETE
D6-04,6일 차,두 번의 죽음,14:00,FORENSIC,"자상은 비치명상, 직접 사인은 질식임을 확정",D6-03,D6-05,헬레나,폐·혈액 소견; 보호면 파편,사망 순서 배열,26,14,0,3,COMPLETE
D6-05,6일 차,타임라인 퍼즐,18:00,EVIDENCE_BOARD,21:22-22:45 사건의 참 타임라인 완성,D6-04,D7-01,아드리안 독백,살해 21:45; 이동 22:18,카드 12장 배열,18,12,0,3,COMPLETE
D7-01,7일 차,마지막 파괴 시도,06:30,VAULT,이블린의 모듈 파괴 시도 저지,D6-05,D7-02,이블린; 토머스,가짜 화재경보; 모듈 교체,추격 경로 선택,26,15,2,0,COMPLETE
D7-02,7일 차,보호면의 침방울,09:00,FORENSIC,이블린 장비와 다니엘 DNA 연결,D7-01,D7-03,헬레나,보호면 내부 DNA; 손톱 수지,압수 영장 논리 제시,27,12,5,3,COMPLETE
D7-03,7일 차,15년 전 목소리,13:00,ARCHIVE,복구된 오르페우스 호 음성 청취,D7-02,D7-04,리처드; 토머스; 오언,줄리언의 음성; 리처드의 무지; 이블린의 계획,음성 구간 복원 퍼즐,25,18,0,3,COMPLETE
D7-04,7일 차,이블린의 제안,18:00,PROMENADE,이블린이 거래를 제안하며 리처드를 희생양으로 삼으려 함,D7-03,D8-01,이블린,다니엘 초대 위조 인정 일부,거래 수락하는 척 / 거절,26,19,2,0,COMPLETE
D8-01,8일 차,최종 심문,08:00,HORIZON,범인·현장·운반법·동기·과거 사건 선택,D7-04,D8-02 또는 C 엔딩,전원,전체 증거,6단계 지목 퍼즐,106,70,26,0,COMPLETE
D8-02,8일 차,마지막 대치,09:00,STERN,이블린의 논리를 반박하고 체포,D8-01 정답,D8-03,이블린; 아드리안,회사를 살렸다는 정당화,최종 대사 선택,23,17,3,0,COMPLETE
D8-03,8일 차,귀항,11:30,PORT,후일담과 사건 평가 제시,D8-02,종료,생존자,기사 수정본; 줄리언 명예회복,엔딩 A/B/C/Bad,32,23,0,0,COMPLETE
